image,n_rows,n_clusters_raw,vanishing_point,resize,roi,segment,transform,cluster,fit_lines,total_pipeline_ms,fps
bev.png,12,13,"(165.0, -2995.3)",26.93,0.03,81.15,9.51,437.17,8.86,781.48,1.28
bev2.png,4,10,"(142.8, -4015.2)",0.0,0.0,9.06,4.62,485.41,2.99,649.15,1.54
bev4.png,7,19,"(165.9, -874.7)",0.01,0.01,1.33,0.96,111.95,4.34,158.46,6.31
bev5.png,0,0,"(123.0, -95.0)",0.01,0.0,1.13,0.88,0.16,0.0,17.74,56.38
bev6.png,0,0,"(0.0, 0.0)",0.01,0.0,,,,,2.31,433.44
bev7.png,0,54,"(119.4, -1851.0)",0.01,0.0,5.03,3.14,276.2,0.0,373.97,2.67
photo_10_2026-08-18_17-17-57.png,1,3,"(171.6, -837.8)",0.01,0.0,11.5,6.4,475.36,3.34,755.36,1.32
photo_11_2026-08-18_17-17-57.png,0,11,"(197.4, -1865.0)",0.02,0.0,18.08,10.29,90.42,0.0,171.42,5.83
photo_12_2026-08-18_17-17-57.png,2,12,"(156.2, -1729.7)",0.0,0.0,6.51,3.82,405.92,10.25,557.76,1.79
photo_13_2026-08-18_17-17-57.png,2,6,"(217.2, -818.4)",0.01,0.0,11.22,7.17,323.76,3.66,480.29,2.08
photo_14_2026-08-18_17-17-57.png,3,8,"(195.6, -2268.6)",0.0,0.0,8.16,2.43,4589.06,31.31,5036.97,0.2
photo_15_2026-08-18_17-17-57.png,5,9,"(249.5, -1909.9)",0.0,0.0,34.17,10.37,560.58,6.03,897.02,1.11
photo_16_2026-08-18_17-17-57.png,1,4,"(233.8, -2546.5)",0.01,0.01,25.64,14.18,438.8,16.97,740.71,1.35
photo_17_2026-08-18_17-17-57.png,1,15,"(150.8, -2292.2)",0.01,0.0,45.04,8.98,126.73,3.24,260.96,3.83
photo_1_2026-08-18_17-17-57.png,1,11,"(559.6, -326.0)",0.01,0.0,27.05,12.96,142.9,1.17,241.12,4.15
photo_2_2026-08-18_17-17-57.png,4,20,"(213.5, -3639.3)",0.01,0.0,10.44,5.08,785.05,2.84,911.33,1.1
photo_3_2026-08-18_17-17-57.png,1,22,"(186.2, -1089.0)",0.0,0.0,5.93,2.83,1593.71,4.97,1796.22,0.56
photo_4_2026-08-18_17-17-57.png,1,21,"(207.8, -3793.1)",0.01,0.0,11.24,8.32,403.36,2.65,502.18,1.99
photo_5_2026-08-18_17-17-57.png,2,10,"(202.6, -2033.9)",0.01,0.0,7.89,5.39,964.27,21.79,1190.51,0.84
photo_6_2026-08-18_17-17-57.png,3,5,"(177.3, -1698.8)",0.01,0.0,11.24,6.91,556.33,15.78,827.81,1.21
photo_7_2026-08-18_17-17-57.png,3,21,"(213.8, -2003.9)",0.01,0.0,10.15,6.81,750.2,3.53,900.89,1.11
photo_8_2026-08-18_17-17-57.png,1,34,"(172.8, -2781.2)",0.01,0.0,9.08,4.11,450.12,1.63,534.71,1.87
photo_9_2026-08-18_17-17-57.png,2,15,"(125.6, -2228.9)",0.01,0.0,10.68,3.97,846.86,9.71,1035.17,0.97
