image,n_rows,n_clusters_raw,vanishing_point,resize,roi,segment,transform,cluster,fit_lines,total_pipeline_ms,fps
bev.png,12,13,"(165.0, -2995.3)",36.14,0.04,50.94,18.24,501.05,22.81,873.51,1.14
bev2.png,4,10,"(142.8, -4015.2)",0.01,0.01,11.93,5.04,350.66,4.12,519.5,1.92
bev4.png,7,19,"(165.9, -874.7)",0.01,0.0,1.06,0.94,140.31,4.05,190.38,5.25
bev5.png,0,0,"(81.5, -143.0)",0.01,0.01,1.51,1.08,2.94,0.0,45.41,22.02
bev7.png,2,34,"(251.2, -3293.8)",0.01,0.0,8.67,4.14,282.69,1.33,532.18,1.88
photo_10_2026-08-18_17-17-57.png,1,3,"(171.6, -837.8)",0.01,0.01,24.1,7.77,432.94,3.86,675.48,1.48
photo_11_2026-08-18_17-17-57.png,0,11,"(197.4, -1865.0)",0.01,0.01,27.79,9.73,74.79,0.0,160.76,6.22
photo_12_2026-08-18_17-17-57.png,2,12,"(156.2, -1729.7)",0.01,0.01,8.05,8.07,418.93,4.76,583.08,1.72
photo_13_2026-08-18_17-17-57.png,2,6,"(217.2, -818.4)",0.01,0.0,15.17,6.57,368.41,12.82,565.67,1.77
photo_14_2026-08-18_17-17-57.png,3,8,"(195.6, -2268.6)",0.04,0.01,14.26,6.16,6186.44,27.96,6559.73,0.15
photo_15_2026-08-18_17-17-57.png,5,9,"(249.5, -1909.9)",0.01,0.0,25.45,23.24,690.71,5.84,962.78,1.04
photo_16_2026-08-18_17-17-57.png,1,4,"(233.8, -2546.5)",0.01,0.01,27.9,10.86,371.53,4.49,585.29,1.71
photo_17_2026-08-18_17-17-57.png,1,15,"(150.8, -2292.2)",0.01,0.0,37.53,4.98,68.62,1.98,164.84,6.07
photo_1_2026-08-18_17-17-57.png,1,11,"(559.6, -326.0)",0.02,0.01,34.1,24.71,159.01,1.69,264.11,3.79
photo_3_2026-08-18_17-17-57.png,1,22,"(186.2, -1089.0)",0.02,0.02,18.2,5.89,1638.32,6.87,1832.98,0.55
photo_4_2026-08-18_17-17-57.png,1,21,"(207.8, -3793.1)",0.01,0.01,14.64,8.72,418.89,3.12,535.74,1.87
photo_5_2026-08-18_17-17-57.png,2,10,"(202.6, -2033.9)",0.01,0.0,15.79,8.43,758.25,20.45,1010.53,0.99
photo_6_2026-08-18_17-17-57.png,3,5,"(177.3, -1698.8)",0.01,0.01,16.16,10.74,761.22,8.33,1006.01,0.99
photo_7_2026-08-18_17-17-57.png,3,21,"(213.8, -2003.9)",0.01,0.01,12.66,5.85,785.6,4.4,951.11,1.05
photo_8_2026-08-18_17-17-57.png,1,34,"(172.8, -2781.2)",0.01,0.01,14.32,8.63,518.12,2.4,624.46,1.6
photo_9_2026-08-18_17-17-57.png,2,15,"(125.6, -2228.9)",0.01,0.01,14.13,10.22,1070.15,3.41,1278.87,0.78
