image,n_rows,n_clusters_raw,vanishing_point,resize,roi,segment,transform,cluster,fit_lines,total_pipeline_ms,fps
bev.png,12,13,"(165.0, -2995.3)",13.68,0.01,27.14,5.98,341.08,5.94,542.99,1.84
bev2.png,4,10,"(142.8, -4015.2)",0.01,0.0,6.3,4.18,273.87,1.9,412.25,2.43
bev4.png,7,19,"(165.9, -874.7)",0.01,0.0,0.92,0.86,95.08,3.26,132.3,7.56
bev5.png,0,0,"(81.5, -143.0)",0.0,0.0,0.86,0.91,1.92,0.0,33.96,29.45
bev6.png,0,0,"(0.0, 0.0)",0.0,0.0,,,,,1.51,660.66
bev7.png,2,34,"(251.2, -3293.8)",0.0,0.0,3.35,3.2,299.67,2.08,390.3,2.56
photo_10_2026-08-18_17-17-57.png,1,3,"(171.6, -837.8)",0.0,0.0,11.32,3.35,415.13,2.25,555.01,1.8
photo_11_2026-08-18_17-17-57.png,0,11,"(197.4, -1865.0)",0.01,0.0,16.49,9.77,68.45,0.0,138.36,7.23
photo_12_2026-08-18_17-17-57.png,2,12,"(156.2, -1729.7)",0.01,0.01,8.1,4.17,337.33,3.0,492.59,2.03
photo_13_2026-08-18_17-17-57.png,2,6,"(217.2, -818.4)",0.01,0.01,17.57,4.93,332.46,2.22,463.58,2.16
photo_14_2026-08-18_17-17-57.png,3,8,"(195.6, -2268.6)",0.0,0.0,8.86,3.94,3565.62,29.0,4021.38,0.25
photo_15_2026-08-18_17-17-57.png,5,9,"(249.5, -1909.9)",0.01,0.01,50.79,7.79,347.33,3.43,652.34,1.53
photo_16_2026-08-18_17-17-57.png,1,4,"(233.8, -2546.5)",0.0,0.0,15.7,7.19,331.84,2.01,497.39,2.01
photo_17_2026-08-18_17-17-57.png,1,15,"(150.8, -2292.2)",0.01,0.0,9.53,6.48,45.82,0.78,95.05,10.52
photo_1_2026-08-18_17-17-57.png,1,11,"(559.6, -326.0)",0.01,0.01,38.6,9.42,110.1,0.81,189.73,5.27
photo_2_2026-08-18_17-17-57.png,4,20,"(213.5, -3639.3)",0.01,0.01,12.41,6.75,608.11,2.94,768.35,1.3
photo_3_2026-08-18_17-17-57.png,1,22,"(186.2, -1089.0)",0.0,0.0,6.26,2.76,1148.04,4.38,1275.84,0.78
photo_4_2026-08-18_17-17-57.png,1,21,"(207.8, -3793.1)",0.01,0.0,15.17,10.37,375.57,2.45,507.16,1.97
photo_5_2026-08-18_17-17-57.png,2,10,"(202.6, -2033.9)",0.01,0.01,22.16,3.82,492.8,3.22,689.76,1.45
photo_6_2026-08-18_17-17-57.png,3,5,"(177.3, -1698.8)",0.01,0.0,9.53,5.6,471.8,4.56,681.9,1.47
photo_7_2026-08-18_17-17-57.png,3,21,"(213.8, -2003.9)",0.01,0.01,10.72,6.44,573.97,2.71,701.09,1.43
photo_8_2026-08-18_17-17-57.png,1,34,"(172.8, -2781.2)",0.0,0.0,8.64,5.69,408.57,1.52,491.7,2.03
photo_9_2026-08-18_17-17-57.png,2,15,"(125.6, -2228.9)",0.01,0.0,9.34,3.16,704.8,2.16,869.88,1.15
