file,mode,spacing_px,spacing_cm,angle_deg,e_y_cm,e_theta_deg,prominence,polylines,trace_points,seconds,warning
bev.png,BEV (0.88 cm/px assumed),199.59,176.5,-2.69,0.6,-2.69,59.5,17,1258,6.5,
bev2.png,BEV (3.57 cm/px assumed),56.4,201.4,-2.49,1.5,-2.49,25.9,10,278,0.5,
bev4.png,BEV (10.57 cm/px assumed),16.57,175.1,-3.3,6.4,-3.3,41.1,17,119,0.3,
bev5.png,BEV (10.57 cm/px assumed),31.71,335.2,-89.55,-1.0,-89.55,41.6,8,80,0.3,
bev6.png,BEV (4.75 cm/px assumed),15.13,71.9,-89.99,-1.6,-89.99,83.2,27,576,0.4,
bev7.png,BEV (4.36 cm/px assumed),28.66,124.8,89.74,-2.3,89.74,63.3,13,325,0.4,
photo_10_2026-08-18_17-17-57.png,"forward rectified @ 45 deg pitch, h=0.8 m, gsd=1.4 cm/px",89.61,128.6,-24.1,-0.4,-24.1,2.1,5,40,1.4,weak lock
photo_11_2026-08-18_17-17-57.png,"forward rectified @ 50 deg pitch, h=0.8 m, gsd=2.0 cm/px",122.46,244.9,-88.1,1.6,-88.1,4.9,4,49,2.0,
photo_12_2026-08-18_17-17-57.png,"forward rectified @ 40 deg pitch, h=0.8 m, gsd=1.4 cm/px",72.65,102.4,18.25,0.5,18.25,1.3,4,24,1.3,weak lock
photo_13_2026-08-18_17-17-57.png,"forward rectified @ 45 deg pitch, h=0.8 m, gsd=1.4 cm/px",22.97,32.0,-7.03,-0.1,-7.03,18.0,13,99,1.5,
photo_14_2026-08-18_17-17-57.png,"forward rectified @ 45 deg pitch, h=0.8 m, gsd=2.0 cm/px",123.75,245.5,30.43,-2.2,30.43,6.7,4,28,1.9,
photo_15_2026-08-18_17-17-57.png,"forward rectified @ 50 deg pitch, h=0.8 m, gsd=1.8 cm/px",155.83,283.0,-51.19,-1.0,-51.19,0.6,6,57,2.4,weak lock
photo_16_2026-08-18_17-17-57.png,"forward rectified @ 35 deg pitch, h=0.8 m, gsd=0.6 cm/px",157.98,99.6,89.09,0.3,89.09,1.1,3,33,2.5,weak lock
photo_17_2026-08-18_17-17-57.png,"forward rectified @ 50 deg pitch, h=0.8 m, gsd=2.0 cm/px",76.16,152.3,88.04,0.2,88.04,5.0,5,90,1.8,
photo_1_2026-08-18_17-17-57.png,"forward rectified @ 35 deg pitch, h=0.8 m, gsd=0.8 cm/px",101.17,80.9,88.63,-0.1,88.63,2.2,4,36,2.2,weak lock
photo_2_2026-08-18_17-17-57.png,"forward rectified @ 30 deg pitch, h=0.8 m, gsd=0.7 cm/px",144.57,103.6,87.9,-0.0,87.9,1.0,4,36,2.0,weak lock
photo_3_2026-08-18_17-17-57.png,"forward rectified @ 25 deg pitch, h=0.8 m, gsd=0.7 cm/px",97.48,65.8,-85.02,0.1,-85.02,1.9,4,48,1.8,weak lock
photo_4_2026-08-18_17-17-57.png,"forward rectified @ 45 deg pitch, h=0.8 m, gsd=1.6 cm/px",60.93,97.8,61.8,0.7,61.8,2.0,5,45,2.0,weak lock
photo_5_2026-08-18_17-17-57.png,"forward rectified @ 35 deg pitch, h=0.8 m, gsd=1.0 cm/px",77.97,81.6,-88.34,0.4,-88.34,2.3,5,30,2.0,weak lock
photo_6_2026-08-18_17-17-57.png,"forward rectified @ 25 deg pitch, h=0.8 m, gsd=0.5 cm/px",58.68,31.8,-4.2,0.0,-4.2,12.3,7,70,1.5,
photo_7_2026-08-18_17-17-57.png,"forward rectified @ 40 deg pitch, h=0.8 m, gsd=1.2 cm/px",49.56,60.3,86.81,-0.3,86.81,3.2,5,45,1.7,
photo_8_2026-08-18_17-17-57.png,"forward rectified @ 50 deg pitch, h=0.8 m, gsd=2.0 cm/px",79.51,159.0,-89.83,-1.3,-89.83,6.2,5,85,2.0,
photo_9_2026-08-18_17-17-57.png,"forward rectified @ 30 deg pitch, h=0.8 m, gsd=0.6 cm/px",154.56,99.0,73.97,0.3,73.97,1.1,4,36,2.0,weak lock
