image,mode,pitch_deg,yaw_deg,gsd_m_per_px,roi_w,roi_h,row_spacing_px,row_spacing_m,angle_dev_deg,fx_cyc_per_px,fy_cyc_per_px,phi_rad,n_rows,ey_cm,e_theta_deg,corridor_m,prominence,detect_ms,status
bev.png,BEV,,,0.008843537414965987,2940,1960,195.43,1.7283,3.71,0.005106,0.000331,2.3292,15,-4.29,3.71,1.728,155.3,689,OK
bev2.png,BEV,,,0.06372549019607843,408,728,30.35,1.9342,2.54,0.032915,0.001458,-0.4821,14,-38.22,2.54,1.934,33.7,21,OK
bev4.png,BEV,,,0.10569105691056911,246,164,16.36,1.7296,4.05,0.060954,0.004312,2.389,15,-13.9,4.05,1.73,122.4,3,OK
bev5.png,BEV,,,0.10569105691056911,246,163,16.09,1.7005,89.66,0.000365,0.062153,0.6142,10,-120.99,89.66,1.7,63.9,4,angle>30deg
bev7.png,BEV,,,0.04355108877721943,597,335,28.55,1.2433,-89.81,-0.000119,0.035028,1.0464,11,165.42,-89.81,1.243,191.6,21,angle>30deg
photo_10_2026-08-18_17-17-57.png,FORWARD,60.0,0.0,0.02,678,371,72.01,1.4403,0.45,0.013886,0.00011,2.4389,9,52.38,0.45,1.44,69.8,28,OK
photo_11_2026-08-18_17-17-57.png,FORWARD,55.0,10.0,0.02,690,364,85.29,1.7059,-5.76,0.011665,-0.001178,-0.7215,9,3.04,-5.76,1.706,106.7,24,OK
photo_12_2026-08-18_17-17-57.png,FORWARD,60.0,-10.0,0.02,681,354,46.23,0.9246,6.18,0.021505,0.002327,1.163,14,15.82,6.18,0.925,122.6,30,OK
photo_13_2026-08-18_17-17-57.png,FORWARD,50.0,0.0,0.02,636,417,28.28,0.5655,-0.73,0.035364,-0.000453,-2.2181,23,-11.54,-0.73,0.566,131.6,31,OK
photo_14_2026-08-18_17-17-57.png,FORWARD,60.0,0.0,0.02,1068,372,26.68,0.5335,-1.81,0.037468,-0.001181,-0.4119,41,-0.23,-1.81,0.534,24.8,42,OK
photo_15_2026-08-18_17-17-57.png,FORWARD,55.0,0.0,0.02,616,381,21.58,0.4316,-0.32,0.046342,-0.000258,0.978,28,7.31,-0.32,0.432,63.0,33,OK
photo_16_2026-08-18_17-17-57.png,FORWARD,60.0,0.0,0.02,621,371,49.13,0.9826,1.5,0.020348,0.000531,1.7403,12,-28.64,1.5,0.983,147.0,23,OK
photo_17_2026-08-18_17-17-57.png,FORWARD,55.0,-10.0,0.02,802,370,36.18,0.7237,5.26,0.027521,0.002533,-1.8224,23,-13.06,5.26,0.724,130.1,72,OK
photo_1_2026-08-18_17-17-57.png,FORWARD,60.0,-30.0,0.02,1387,419,100.43,2.0086,79.35,0.001839,0.009786,-2.2885,5,-301.66,79.35,2.009,341.5,75,angle>30deg
photo_3_2026-08-18_17-17-57.png,FORWARD,55.0,-30.0,0.02,1694,480,77.86,1.5572,76.71,0.002952,0.0125,0.772,6,-484.34,76.71,1.557,383.7,96,angle>30deg
photo_4_2026-08-18_17-17-57.png,FORWARD,55.0,0.0,0.02,719,381,26.26,0.5253,0.6,0.038072,0.0004,0.21,27,-19.56,0.6,0.525,66.2,45,OK
photo_5_2026-08-18_17-17-57.png,FORWARD,60.0,0.0,0.02,887,372,38.06,0.7611,-0.31,0.026276,-0.000142,1.3213,23,-23.66,-0.31,0.761,46.4,39,OK
photo_6_2026-08-18_17-17-57.png,FORWARD,55.0,0.0,0.02,713,381,61.22,1.2244,-0.64,0.016333,-0.000181,2.012,11,52.13,-0.64,1.224,67.3,34,OK
photo_7_2026-08-18_17-17-57.png,FORWARD,60.0,0.0,0.02,784,372,33.9,0.678,-6.94,0.029282,-0.003566,0.6551,22,16.28,-6.94,0.678,26.6,22,OK
photo_8_2026-08-18_17-17-57.png,FORWARD,60.0,0.0,0.02,769,371,30.62,0.6124,3.14,0.032611,0.001791,-3.0585,26,-13.15,3.14,0.612,66.1,40,OK
photo_9_2026-08-18_17-17-57.png,FORWARD,60.0,0.0,0.02,689,371,45.93,0.9186,-2.25,0.021757,-0.000853,0.5513,14,21.39,-2.25,0.919,88.8,23,OK
