filename,v_mps,w_radps,w_degps,err_x_px,err_theta_deg,nav_w,nav_b,has_line,time_ms
bev.png,0.2000,0.5000,28.65,-221.3,4.59,-15.6649,20651.62,1,163.5
bev2.png,0.2000,0.2067,11.84,-17.2,3.55,-23.2923,4934.51,1,9.5
bev4.png,0.2000,-0.3165,-18.13,17.5,2.46,-82.3242,11553.62,1,5.3
bev5.png,0.2000,0.0000,0.00,-4.1,3.74,63.9701,-4751.34,1,5.9
bev6.png,0.2000,-0.1426,-8.17,8.6,0.43,-49.9051,13946.00,1,4.6
bev7.png,0.2000,-0.2120,-12.15,12.8,0.69,-156.4179,27930.89,1,10.2
photo_10_2026-08-18_17-17-57.png,0.2000,-0.5000,-28.65,170.7,-18.42,4.2207,-1845.81,1,10.6
photo_11_2026-08-18_17-17-57.png,0.2000,-0.4551,-26.08,28.6,0.44,34.5220,-17068.85,1,12.1
photo_12_2026-08-18_17-17-57.png,0.2000,-0.5000,-28.65,106.6,-23.06,3.8080,-1045.86,1,6.5
photo_13_2026-08-18_17-17-57.png,0.2000,0.5000,28.65,-106.7,7.87,-5.6946,2193.57,1,12.7
photo_14_2026-08-18_17-17-57.png,0.2000,-0.1661,-9.52,11.2,-0.48,33.8885,-15990.03,1,7.0
photo_15_2026-08-18_17-17-57.png,0.2000,-0.3140,-17.99,17.1,2.64,40.6313,-19950.22,1,12.2
photo_16_2026-08-18_17-17-57.png,0.2000,0.5000,28.65,-167.5,15.22,-3.7125,1821.77,1,13.7
photo_17_2026-08-18_17-17-57.png,0.2000,-0.5000,-28.65,174.3,-18.23,2.8612,-1358.27,1,12.5
photo_1_2026-08-18_17-17-57.png,0.2000,0.5000,28.65,-75.4,18.87,-2.9256,1836.88,1,9.1
photo_2_2026-08-18_17-17-57.png,0.2000,0.5000,28.65,-214.6,54.03,-0.7259,610.82,1,7.0
photo_3_2026-08-18_17-17-57.png,0.2000,0.5000,28.65,-52.6,-11.62,12.0682,-3452.25,1,7.3
photo_4_2026-08-18_17-17-57.png,0.2000,-0.5000,-28.65,128.4,-16.61,6.1913,-2648.94,1,9.1
photo_5_2026-08-18_17-17-57.png,0.2000,0.5000,28.65,-60.4,3.47,-28.2080,10237.59,1,8.4
photo_6_2026-08-18_17-17-57.png,0.2000,-0.5000,-28.65,29.8,4.36,55.7160,-24807.65,1,10.1
photo_7_2026-08-18_17-17-57.png,0.2000,0.5000,28.65,-151.7,12.33,-6.0706,2076.76,1,8.9
photo_8_2026-08-18_17-17-57.png,0.2000,0.0547,3.13,-9.6,5.49,-125.8503,52626.46,1,9.1
photo_9_2026-08-18_17-17-57.png,0.2000,-0.5000,-28.65,68.7,-8.30,6.4425,-2521.29,1,9.6
