filename,nav_angle_pass1_deg,nav_angle_final_deg,n_nav_points,n_detection_lines,weed_pressure,if_removed_components,if_removed_veg_frac,time_ms
bev,4.633,4.633,10,2,0.1060,0,0.0000,511.1
bev2,3.715,3.715,10,2,0.2682,0,0.0000,14.8
bev4,2.672,2.672,10,2,0.0466,0,0.0000,7.9
bev5,5.792,5.792,10,2,0.0835,0,0.0000,8.6
bev7,0.583,0.583,10,2,0.0535,0,0.0000,13.6
photo_10_2026-08-18_17-17-57,8.889,8.889,10,2,0.3189,0,0.0000,29.2
photo_11_2026-08-18_17-17-57,0.759,0.759,10,2,0.2393,0,0.0000,52.2
photo_12_2026-08-18_17-17-57,26.355,26.355,10,2,0.1818,0,0.0000,10.8
photo_13_2026-08-18_17-17-57,7.388,7.388,10,2,0.4012,0,0.0000,14.1
photo_14_2026-08-18_17-17-57,0.184,0.184,10,2,0.3333,0,0.0000,16.1
photo_15_2026-08-18_17-17-57,3.359,3.359,10,2,0.2340,0,0.0000,28.9
photo_16_2026-08-18_17-17-57,15.304,15.304,10,2,0.2083,0,0.0000,24.2
photo_17_2026-08-18_17-17-57,18.289,18.289,10,2,0.2222,0,0.0000,18.0
photo_1_2026-08-18_17-17-57,18.871,18.871,10,2,0.5556,0,0.0000,18.7
photo_2_2026-08-18_17-17-57,54.025,54.025,10,2,0.6667,0,0.0000,10.2
photo_3_2026-08-18_17-17-57,23.059,23.059,10,2,0.4444,0,0.0000,19.6
photo_4_2026-08-18_17-17-57,17.422,17.422,10,2,0.2222,0,0.0000,28.1
photo_5_2026-08-18_17-17-57,2.356,2.356,10,2,0.2222,0,0.0000,23.1
photo_6_2026-08-18_17-17-57,5.049,5.049,10,2,0.2131,0,0.0000,42.7
photo_7_2026-08-18_17-17-57,12.545,12.545,10,2,0.1877,0,0.0000,17.4
photo_8_2026-08-18_17-17-57,6.237,6.237,10,2,0.2478,0,0.0000,17.8
photo_9_2026-08-18_17-17-57,9.529,9.529,10,2,0.2668,0,0.0000,49.6
