filename,nav_angle_pass1_deg,nav_angle_final_deg,n_nav_points,n_detection_lines,weed_pressure,if_removed_components,if_removed_veg_frac,time_ms
bev,4.486,4.486,10,2,0.1071,0,0.0000,64.7
bev2,3.715,3.715,10,2,0.2682,0,0.0000,9.4
bev4,2.672,2.672,10,2,0.0466,0,0.0000,6.5
bev5,59.624,59.624,10,2,0.3333,0,0.0000,4.7
bev6,1.255,30.700,10,2,0.5556,64,0.5259,188.9
bev7,16.941,16.941,10,2,0.3333,0,0.0000,6.7
photo_10_2026-08-18_17-17-57,19.374,19.374,10,2,0.3195,0,0.0000,11.8
photo_11_2026-08-18_17-17-57,0.759,0.759,10,2,0.2397,0,0.0000,16.3
photo_12_2026-08-18_17-17-57,26.355,26.355,10,2,0.1818,0,0.0000,16.9
photo_13_2026-08-18_17-17-57,7.453,7.388,10,2,0.4045,11,0.1152,204.4
photo_14_2026-08-18_17-17-57,0.184,0.184,10,2,0.3333,0,0.0000,10.3
photo_15_2026-08-18_17-17-57,3.359,3.359,10,2,0.2315,0,0.0000,14.9
photo_16_2026-08-18_17-17-57,15.304,15.304,10,2,0.2099,0,0.0000,15.7
photo_17_2026-08-18_17-17-57,18.289,18.289,10,2,0.2222,0,0.0000,11.5
photo_1_2026-08-18_17-17-57,18.871,18.871,10,2,0.5556,0,0.0000,13.4
photo_2_2026-08-18_17-17-57,54.025,54.025,10,2,0.6667,0,0.0000,8.4
photo_3_2026-08-18_17-17-57,23.059,23.059,10,2,0.4444,10,0.0026,167.9
photo_4_2026-08-18_17-17-57,17.422,17.422,10,2,0.2222,0,0.0000,9.8
photo_5_2026-08-18_17-17-57,2.356,2.356,10,2,0.2222,0,0.0000,8.3
photo_6_2026-08-18_17-17-57,5.049,5.049,10,2,0.2131,0,0.0000,10.1
photo_7_2026-08-18_17-17-57,12.545,12.545,10,2,0.1877,0,0.0000,10.8
photo_8_2026-08-18_17-17-57,6.237,6.237,10,2,0.2478,0,0.0000,9.6
photo_9_2026-08-18_17-17-57,8.230,8.230,10,2,0.2707,0,0.0000,10.8
