filename,nav_angle_pass1_deg,nav_angle_final_deg,n_nav_points,n_detection_lines,weed_pressure,if_removed_components,if_removed_veg_frac,time_ms
bev,3.726,3.726,10,2,0.1071,0,0.0000,68.8
bev2,2.469,2.469,10,2,0.2682,0,0.0000,7.6
bev4,4.588,4.588,10,2,0.0466,0,0.0000,4.0
bev5,6.684,6.684,10,2,0.2222,0,0.0000,4.1
bev6,7.537,4.808,10,2,0.6667,80,0.3581,28.2
bev7,0.437,0.437,10,2,0.0535,0,0.0000,8.5
photo_10_2026-08-18_17-17-57,14.689,14.689,10,2,0.3195,0,0.0000,12.1
photo_11_2026-08-18_17-17-57,1.626,1.626,10,2,1.0000,41,0.2765,43.9
photo_12_2026-08-18_17-17-57,15.467,15.467,10,2,0.1818,0,0.0000,7.2
photo_13_2026-08-18_17-17-57,9.965,9.965,10,2,0.4045,15,0.1583,26.1
photo_14_2026-08-18_17-17-57,7.314,7.314,10,2,0.3333,0,0.0000,11.2
photo_15_2026-08-18_17-17-57,3.981,3.981,10,2,0.2315,0,0.0000,13.4
photo_16_2026-08-18_17-17-57,14.425,14.425,10,2,0.2067,0,0.0000,10.5
photo_17_2026-08-18_17-17-57,4.492,4.492,10,2,1.0000,46,0.2710,31.3
photo_1_2026-08-18_17-17-57,13.736,13.736,10,2,0.5556,20,0.0127,23.3
photo_2_2026-08-18_17-17-57,28.027,28.027,10,2,0.7778,0,0.0000,7.9
photo_3_2026-08-18_17-17-57,17.784,17.784,10,2,0.4444,18,0.0031,19.2
photo_4_2026-08-18_17-17-57,11.316,11.316,10,2,0.2222,0,0.0000,7.7
photo_5_2026-08-18_17-17-57,9.124,9.124,10,2,0.3333,0,0.0000,7.0
photo_6_2026-08-18_17-17-57,5.443,5.443,10,2,0.2131,0,0.0000,7.3
photo_7_2026-08-18_17-17-57,9.305,9.305,10,2,0.1890,0,0.0000,9.2
photo_8_2026-08-18_17-17-57,7.747,7.747,10,2,0.2478,0,0.0000,8.1
photo_9_2026-08-18_17-17-57,8.995,8.995,10,2,0.2707,0,0.0000,7.7
