filename,nav_angle_pass1_deg,nav_angle_final_deg,n_nav_points,n_detection_lines,weed_pressure,if_removed_components,if_removed_veg_frac,time_ms
bev,10.928,10.928,10,2,0.5556,0,0.0000,343.7
bev2,3.998,3.998,10,2,0.6667,11,0.0086,218.9
bev4,1.475,1.475,10,2,0.0458,0,0.0000,215.0
bev5,12.415,12.415,10,2,0.2222,0,0.0000,162.8
bev6,8.482,4.059,10,2,0.5556,45,0.2518,207.5
bev7,0.428,0.428,10,2,0.0373,0,0.0000,192.3
photo_10_2026-08-18_17-17-57,15.627,15.627,10,2,0.8889,0,0.0000,203.8
photo_11_2026-08-18_17-17-57,1.515,1.515,10,2,1.0000,26,0.1514,217.7
photo_12_2026-08-18_17-17-57,18.406,18.406,10,2,0.1946,0,0.0000,230.7
photo_13_2026-08-18_17-17-57,10.297,10.297,10,2,0.4025,6,0.0690,287.4
photo_14_2026-08-18_17-17-57,3.894,3.894,10,2,0.7778,15,0.0177,214.8
photo_15_2026-08-18_17-17-57,3.394,3.394,10,2,0.2392,0,0.0000,300.1
photo_16_2026-08-18_17-17-57,14.380,14.380,10,2,0.2074,0,0.0000,33.4
photo_17_2026-08-18_17-17-57,4.283,4.283,10,2,1.0000,33,0.2329,212.0
photo_1_2026-08-18_17-17-57,14.369,14.369,10,2,0.5556,10,0.0092,175.4
photo_2_2026-08-18_17-17-57,34.839,34.839,10,2,0.4444,5,0.0008,272.6
photo_3_2026-08-18_17-17-57,17.741,17.741,10,2,0.3333,0,0.0000,158.7
photo_4_2026-08-18_17-17-57,11.215,11.215,10,2,0.1196,0,0.0000,166.4
photo_5_2026-08-18_17-17-57,56.499,56.499,10,2,0.7778,0,0.0000,290.7
photo_6_2026-08-18_17-17-57,3.667,3.667,10,2,0.2365,0,0.0000,249.2
photo_7_2026-08-18_17-17-57,13.648,13.648,10,2,0.2222,0,0.0000,228.4
photo_8_2026-08-18_17-17-57,8.181,8.181,10,2,0.2633,0,0.0000,190.8
photo_9_2026-08-18_17-17-57,10.733,10.733,10,2,0.2411,0,0.0000,202.4
