filename,heading_angle_error_rad
bev,0.004082
bev2,0.032955
bev4,0.000000
bev5,0.000000
bev6,0.128359
bev7,0.118490
photo_10_2026-08-18_17-17-57,0.062854
photo_11_2026-08-18_17-17-57,0.071424
photo_12_2026-08-18_17-17-57,0.092787
photo_13_2026-08-18_17-17-57,0.054368
photo_14_2026-08-18_17-17-57,0.135094
photo_15_2026-08-18_17-17-57,0.061719
photo_16_2026-08-18_17-17-57,0.062875
photo_17_2026-08-18_17-17-57,0.000000
photo_1_2026-08-18_17-17-57,0.020057
photo_2_2026-08-18_17-17-57,0.087341
photo_3_2026-08-18_17-17-57,0.043205
photo_4_2026-08-18_17-17-57,0.108942
photo_5_2026-08-18_17-17-57,0.130102
photo_6_2026-08-18_17-17-57,0.054166
photo_7_2026-08-18_17-17-57,0.056849
photo_8_2026-08-18_17-17-57,0.039662
photo_9_2026-08-18_17-17-57,0.093093
