image,n_rows,n_clusters_raw,vanishing_point,resize,roi,segment,transform,cluster,fit_lines,total_pipeline_ms,fps
bev.png,12,13,"(165.0, -2995.3)",15.85,0.02,44.76,7.5,405.42,11.52,719.18,1.39
bev2.png,4,10,"(142.8, -4015.2)",0.01,0.01,12.32,4.77,328.52,3.17,494.95,2.02
bev4.png,7,19,"(165.9, -874.7)",0.01,0.01,1.06,0.95,111.88,3.91,156.83,6.38
bev5.png,0,0,"(81.5, -143.0)",0.02,0.01,1.21,1.23,4.76,0.0,46.52,21.5
bev7.png,2,34,"(251.2, -3293.8)",0.01,0.0,7.0,4.14,232.93,1.26,348.98,2.87
photo_10_2026-08-18_17-17-57.png,1,3,"(171.6, -837.8)",0.01,0.01,15.49,4.95,416.39,16.86,760.63,1.31
photo_11_2026-08-18_17-17-57.png,0,11,"(197.4, -1865.0)",0.01,0.01,21.68,8.53,77.45,0.0,183.11,5.46
photo_12_2026-08-18_17-17-57.png,2,12,"(156.2, -1729.7)",0.01,0.0,9.62,5.07,413.4,9.96,577.27,1.73
photo_13_2026-08-18_17-17-57.png,2,6,"(217.2, -818.4)",0.01,0.01,17.61,5.17,325.54,8.68,526.52,1.9
photo_14_2026-08-18_17-17-57.png,3,8,"(195.6, -2268.6)",0.01,0.0,18.44,5.22,5781.87,10.62,6172.61,0.16
photo_15_2026-08-18_17-17-57.png,5,9,"(249.5, -1909.9)",0.01,0.0,24.69,6.66,468.31,5.46,723.86,1.38
photo_16_2026-08-18_17-17-57.png,1,4,"(233.8, -2546.5)",0.01,0.0,33.25,10.96,456.76,15.45,797.51,1.25
photo_17_2026-08-18_17-17-57.png,1,15,"(150.8, -2292.2)",0.01,0.01,14.11,11.25,68.19,1.48,135.78,7.36
photo_1_2026-08-18_17-17-57.png,1,11,"(559.6, -326.0)",0.01,0.0,20.4,11.83,132.99,2.4,194.25,5.15
photo_3_2026-08-18_17-17-57.png,1,22,"(186.2, -1089.0)",0.01,0.01,11.95,4.83,1824.99,5.24,1994.94,0.5
photo_4_2026-08-18_17-17-57.png,1,21,"(207.8, -3793.1)",0.01,0.01,14.97,4.22,371.8,4.01,513.83,1.95
photo_5_2026-08-18_17-17-57.png,2,10,"(202.6, -2033.9)",0.01,0.0,13.32,6.13,803.28,19.51,1233.65,0.81
photo_6_2026-08-18_17-17-57.png,3,5,"(177.3, -1698.8)",0.0,0.0,12.54,3.85,560.43,30.48,970.39,1.03
photo_7_2026-08-18_17-17-57.png,3,21,"(213.8, -2003.9)",0.01,0.0,14.96,4.82,982.46,5.04,1146.53,0.87
photo_8_2026-08-18_17-17-57.png,1,34,"(172.8, -2781.2)",0.01,0.0,15.41,4.59,502.72,1.68,602.73,1.66
photo_9_2026-08-18_17-17-57.png,2,15,"(125.6, -2228.9)",0.01,0.0,15.79,5.17,1003.85,7.25,1248.87,0.8
